day,box,mouse,ama_density,rbc_density,ter119_density,cd71_density
23,3,1,195.5715,7540000000,4356022.768,558145.564
23,3,2,,7700000000,4822426.62,628295.752
23,3,3,,6980000000,4310211.788,1182844.66
23,4,1,,7270000000,4472740.972,1217545.608
23,4,2,20.7372,7740000000,5064840.348,1165669.464
23,4,3,113.439,8260000000,5489660.895,993048.63
23,5,1,,8090000000,5482661.715,477879.965
23,5,2,,8510000000,5724594.6,520101.59
23,5,3,,7520000000,5049901.396,1260003.7
25,1,2,68.66865,7740000000,5550137.064,929496.432
25,1,3,239.22,8830000000,6591008.445,1120385.615
25,2,1,,6590000000,4625324.676,783192.426
25,2,2,,8580000000,5982261.315,1006673.195
25,2,3,289.029,8340000000,5753687.395,774933.245
25,3,1,587.592,8490000000,5357929.245,561939.08
25,3,2,,8020000000,5640262.07,625206.9
25,3,3,,8320000000,6287515.565,807073.225
25,4,1,41.8854,8720000000,5860910.285,747006.905
25,4,2,,8580000000,6391974.805,751489.115
25,4,3,316.986,9280000000,6782481.77,626648.33
25,5,1,,8450000000,5778862.825,340917.945
25,5,2,,8940000000,6861422.58,338229.125
25,5,3,,8190000000,5652658.065,696570.32
27,1,2,924.7005,8520000000,5166439.875,564947.685
27,1,3,1765.875,8990000000,5927470.875,570996.605
27,2,1,,6640000000,4341153.687,1012334.379
27,2,2,,9450000000,5784046.84,630679.635
27,2,3,156.117,8780000000,5676681.23,542313.87
27,3,1,2396.085,7770000000,6926228.9,551566.576
27,3,2,,7590000000,9405670.624,707969.624
27,3,3,,8450000000,6666037.97,474192.445
27,4,1,,8240000000,5843580.485,376304.48
27,4,2,,8140000000,6097702.16,337516.285
27,4,3,2747.925,8960000000,6825120.83,332644.05
27,5,1,,8950000000,6604522.78,231022.045
27,5,2,,8920000000,6384787.89,298535.865
27,5,3,,8000000000,6247065.795,574898.995
29,1,2,9645.78,7170000000,6432770.805,528859.005
29,1,3,3283.29,7170000000,6009977.785,663487.385
29,2,1,,5930000000,4387741.605,996545.74
29,2,2,108.4524,7650000000,6759717.82,554561.185
29,2,3,111.59955,7970000000,6514648.065,687762.515
29,3,1,4041.135,6700000000,5332760.675,370622.445
29,3,2,,6230000000,5277810.435,506234.925
29,3,3,,7030000000,5658497.82,405302.835
29,4,1,181.269,6790000000,6016193.315,448415.485
29,4,2,,6100000000,5689039.585,475662.375
29,4,3,1620.795,7540000000,6839680.165,413687.56
29,5,1,,7660000000,6847495.15,311737.375
29,5,2,,6760000000,5837766.68,385797.6
29,5,3,,7090000000,6462595.29,610209.81
