"day","Retic","RBC","Pd","M","E","R","W","N","K","mouse","box","paba","sigmaRBCinit","sigmaReticinit","sigmaPdinit","lambdaM","lambdaE","sigmaR","sigmaW","sigmaN","fit","con","ID"
8,570846.650310197,4480000,446172,12.9970046466613,15.1486287530285,13.2554613544516,16.004450712865,13.2668290094506,12.9468932817745,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
9,815732.851401827,4290000,178645.5,12.1760293086653,15.0568546812248,13.6120481758251,15.4911636384213,14.3827012344975,12.1534218114906,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
10,2560491.70528295,5250000,150999,11.8991886324064,14.8096457909165,14.7553400274674,15.5342062209451,15.1361096330056,11.885238974725,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
11,3515742.00877348,6040000,91257.45,11.5204622958924,14.736068794765,15.0726169094391,15.5109111075005,15.7383301125185,11.5121136925915,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
12,2647294.23193464,4540000,59119.8,10.8807410563432,14.4577496522192,14.7884593853971,16.4475112761411,15.0173546955428,10.8749023243762,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
13,1608425.70861526,3630000,4665.75,8.49232894773569,14.5853024864029,14.2906844367471,16.1957668182652,12.9755848860374,8.49168176231292,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
14,1765385.77417404,5480000,1051.836,6.91574446187024,15.0524692340679,14.386628879157,16.5439226507648,14.3618379106579,6.91564782387258,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
15,2372936.243658,6120000,147.1881,5.05599418069872,15.1343892329255,14.6794015196644,15.8995439023595,15.1072001709913,5.05598133953012,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
16,2309225.77246357,5630000,98.56935,4.55303344563171,15.0275446858856,14.6520119301146,15.8930907244939,14.3227028510358,4.5530250731996,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
17,1815745.11853429,6020000,NA,4.25845893959204,15.2585130983717,14.4120585009432,15.8884975379177,13.8777099514585,4.25845309580154,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
18,1164156.59124538,6310000,NA,4.17560603781969,15.4443274772602,13.9678489161607,15.8856547564981,14.3863399041332,4.17560084178252,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
19,1478875.23300575,6200000,NA,4.03440551192935,15.36696660152,14.2066393902352,15.8842950078219,14.7364684907509,4.03440095251172,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
20,946714.82363658,5070000,NA,3.75887200034711,15.2334885410131,13.7607972705819,15.8842147060362,14.7364448004001,3.75886777418016,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
0,200948.047834501,8260000,NA,6.43694262578162,15.9075785078812,12.2110496578496,12.4068890420447,14.0423429572254,6.4369050178687,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
1,811529.095976102,8300000,1549.86,8.00746870823478,15.7819276467719,13.6063238658295,12.4075400139074,14.2198608961235,8.0072799760064,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
2,398289.371306928,6650000,11036.205,9.54276238760556,15.6929127655301,12.8950565341568,12.5265160868346,13.4579677164974,9.54175724008889,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
3,666132.606617209,7080000,58216.05,11.15693410779,15.649802723948,13.4092060417238,12.8519790723268,13.2917917004403,11.1518820813925,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
4,837503.919521125,6960000,410092.5,12.7679632100906,15.6505597652435,13.6380503888226,13.5219127023356,13.2065012264611,12.7433706884932,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
5,1027855.49382334,7500000,2070855,14.3176271451492,15.6485592330099,13.8428126306627,14.7452443968861,13.397360094006,14.2063050719982,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
6,629442.648715445,5700000,7922805,15.5206239499325,15.4760509556323,13.3524008250174,16.6101912385394,13.0086470434803,15.089756762369,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
7,356850.272479255,2390000,1503060,13.9877843698124,14.5797147403852,12.7852752664979,15.6881413581394,12.5735696959211,13.7599428850365,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
8,596648.351676645,2040000,371811,12.7981809701759,14.1499741514347,13.2996040726132,15.4740064467127,12.9807165089339,12.7088953557505,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
9,934231.649027601,2320000,111783.45,11.6091105361624,14.1091256422932,13.7478882451093,15.6162918313033,13.9875122453482,11.58502042238,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
10,2336094.97331371,3610000,26528.25,10.1539492071604,14.0675135731907,14.6638546749678,15.4981587376212,14.8667818306534,10.1504049612819,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
11,3573022.53482461,5330000,10697.43,9.6262150256258,14.3062315801313,15.0890371910114,14.9312386704755,16.0157609869514,9.62475991741162,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
12,2503904.17449083,3300000,12561.315,9.05758284735458,13.7262800368005,14.731914603441,15.3700155810637,15.0853189444037,9.05632636325297,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
13,1470358.31179064,2450000,3628.485,8.37854773753563,13.9982768673948,14.2011186742963,15.0972178608554,13.2329713201364,8.37773305700533,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
14,2444841.26211846,5450000,6114.615,8.57144127011625,14.6024113954026,14.712770495342,15.5939752238191,15.0599707543303,8.57087365119199,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
15,2235212.87874714,4340000,3851.55,8.30174845934276,14.6022955876683,14.6194268419386,15.7164952796008,14.7610694908519,8.30129359877011,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
16,2597889.63581961,5080000,2685.975,7.96085283404156,14.7222572270974,14.7702138577524,15.7934348052175,14.5378449111181,7.96057038477185,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
17,2615736.2849305,5930000,2797.11,7.88174693111116,15.0328845894604,14.7769601847019,16.3658908204183,14.2796076915114,7.88152600263738,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
18,2183425.37511436,6800000,1445.97,7.2297668626165,15.3417748317464,14.5965321422889,16.9999459492021,14.4325790424214,7.22966517162322,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
19,1806176.22693661,7100000,162.537,5.14733464681398,15.4585927613045,14.4067596217984,16.7665821867844,15.0748026274748,5.14732232317243,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
20,906205.183880599,5080000,39.1224,3.65238375979698,15.2520403803609,13.7170916463478,16.7665813324315,15.0745755081919,3.65237998790081,"03","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-45.1970194180224,0,6
0,169863.138050484,7740000,NA,6.29772402701612,15.9176410126681,12.042988957536,13.5038600798528,12.0626388469747,6.29769150582232,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
1,659010.89109031,10100000,1794.96,7.94041244267119,15.9502126932659,13.3986312482359,13.5041076968415,12.8292759622275,7.94025836317563,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
2,309033.52599803,8980000,19659.3,9.57398821692358,15.9742186620641,12.6412997067189,13.857110716387,13.3232735370389,9.57318635809348,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
3,366902.705896111,8500000,81187.65,11.1410785585787,15.929306963252,12.8127382287607,14.3616428958367,13.1225300360552,11.137094266642,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
4,383052.708713655,8290000,299082,12.6303701019253,15.9039528868676,12.8558422443644,14.7939405997556,12.7127329202647,12.6123470664709,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
5,287960.888222311,8220000,871810.5,14.0094820166338,15.8801758472161,12.5706401801842,15.1910338245619,12.5319810020312,13.9361076026973,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
