"day","Retic","RBC","Pd","M","E","R","W","N","K","mouse","box","paba","sigmaRBCinit","sigmaReticinit","sigmaPdinit","lambdaM","lambdaE","sigmaR","sigmaW","sigmaN","fit","con","ID"
16,1261204.19967786,5210000,1651.35,7.40574171686759,15.1738853363082,14.0478996009692,16.7425896187724,14.1691317333284,7.40558201887224,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
17,1820653.73982328,5660000,191.7195,5.25542934373962,15.1772470650477,14.4145812825289,16.8108085057701,13.8449398809624,5.25541260513322,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
18,1940044.72711964,6870000,27.9741,3.33365540351841,15.3833658927256,14.4784259111485,16.8034286461906,14.1783082146116,3.33365332237358,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
19,1476446.28248577,6780000,NA,1.92575003094112,15.5064241220632,14.2049198738769,16.7997105074869,13.7171608588039,1.92574953385075,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
20,853326.686477451,6980000,NA,0.680434869786599,15.6188913558842,13.657082218774,16.7997503735025,13.7170754046321,0.680434727231794,"02","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-61.0686594252774,0,5
0,195185.433142876,8100000,NA,6.85493464689263,15.8888159991114,12.1819286658519,13.7511034545159,12.0575851977867,6.85487642769898,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
1,679851.300101998,8930000,2416.755,8.46973731490195,15.9195783826902,13.4297432944228,13.7580925926238,12.7187084792769,8.46946882505486,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
2,336022.666444805,8930000,28758.6,10.078420293542,15.962576197943,12.7250889987099,13.9816509553263,13.5167041715315,10.0770815684476,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
3,372838.77426805,8370000,157624.5,11.6133291685157,15.898573710127,12.8287554634395,14.391155164362,12.8919951397654,11.6067567467873,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
4,431837.518936741,8320000,448315.5,13.0992809405181,15.8850463748336,12.9757612237791,14.8774789259231,12.3645756634353,13.0701769350253,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
5,357944.683233395,8210000,2329575,14.4486436399895,15.87055902681,12.7882348050739,15.9977715897293,12.4901283135808,14.3355225361646,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
6,197228.66197661,6420000,9209085,14.9677902266589,15.6466872000426,12.1922461602902,16.5595230161514,12.4014345965827,14.7320222216581,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
7,271980.720638346,4090000,859099.5,14.0299534882751,15.1541576137324,12.5136302239365,16.1299826078142,12.5408004724847,13.8821430396281,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
