"name","mouse","value","time"
"logW","GROUP",7770130.7668128,15
"logM","C",624.44428025593,15
"logE","C",4684148.44116855,15
"logR","C",2181497.63126601,15
"logW","C",8181243.58132411,15
"logN","C",1804174.11665564,15
"logM","B",1835.95971622001,15
"logE","B",3673679.26135716,15
"logR","B",2491195.51394888,15
"logW","B",6378725.12460407,15
"logN","B",1804174.11671411,15
"logM","A",525.63910369269,15
"logE","A",3822528.34263444,15
"logR","A",2314539.03906387,15
"logW","A",8968450.14153156,15
"logN","A",1804174.11659877,15
"logE","GROUP",4593752.05015842,16
"logM","GROUP",2412.49512945011,16
"logN","GROUP",1835938.08955016,16
"logR","GROUP",2144331.89478519,16
"logW","GROUP",7469939.88542485,16
"logM","C",594.963927782115,16
"logE","C",5281327.15928958,16
"logR","C",2119206.6918999,16
"logW","C",7834247.47723492,16
"logN","C",1835938.08953931,16
"logM","B",1987.31285856581,16
"logE","B",4600489.86346444,16
"logR","B",2078412.22438056,16
"logW","B",6178321.45000058,16
"logN","B",1835938.08959882,16
"logM","A",370.557327837403,16
"logE","A",4568891.03303958,16
"logR","A",2264216.24530468,16
"logW","A",8588895.4851716,16
"logN","A",1835938.08948145,16
"logE","GROUP",5105905.91653421,17
"logM","GROUP",3051.49392865195,17
"logN","GROUP",1841714.39958735,17
"logR","GROUP",1840395.59883278,17
"logW","GROUP",10096613.7902236,17
"logM","C",657.128540710571,17
"logE","C",5777420.17770157,17
"logR","C",1841252.23051053,17
"logW","C",10548730.4206981,17
"logN","C",1841714.39957646,17
"logM","B",2442.7032938205,17
"logE","B",5071676.85488186,17
"logR","B",1845600.28018371,17
"logW","B",8429345.55905631,17
"logN","B",1841714.39963617,17
"logM","A",328.796110983359,17
"logE","A",5218677.54590569,17
"logR","A",1851495.64785036,17
"logW","A",11565699.5471435,17
"logN","A",1841714.39951842,17
"logE","GROUP",5480417.61462692,18
"logM","GROUP",1840.58983504964,18
"logN","GROUP",1802467.2165356,18
"logR","GROUP",1092135.37650259,18
"logW","GROUP",14612581.3921226,18
"logM","C",527.238223851622,18
"logE","C",5985440.22978705,18
"logR","C",923349.930373855,18
"logW","C",15215539.1480322,18
"logN","C",1802467.21652493,18
"logM","B",2257.33772681332,18
"logE","B",5297946.60840501,18
"logR","B",1204434.87351196,18
"logW","B",12312678.7239798,18
"logN","B",1802467.21658338,18
"logM","A",201.377251033923,18
"logE","A",5445642.64090234,18
"logR","A",1173954.23920844,18
"logW","A",16678062.9474874,18
"logN","A",1802467.21646815,18
"logE","GROUP",5054210.46295942,19
"logM","GROUP",357.795116024151,19
"logN","GROUP",1704577.19108044,19
"logR","GROUP",1181480.02345304,19
"logW","GROUP",16528879.1959624,19
"logM","C",183.192894166841,19
"logE","C",5324496.45148831,19
"logR","C",974116.255263513,19
"logW","C",17171099.3399758,19
"logN","C",1704577.19107035,19
"logM","B",1050.37698744458,19
"logE","B",4926262.96528064,19
"logR","B",1191446.21170671,19
"logW","B",14018884.2628238,19
"logN","B",1704577.19112562,19
"logM","A",50.3738338472427,19
"logE","A",5039470.71160135,19
"logR","A",1425763.48757549,19
